doc_id,source,band,machine_langid,machine_flags,language,quality,translation_shaped,notes
ht_wikipedia:74180,ht_wikipedia,,ht(0.178),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0071523,madlad_400_ht_clean,,ht(0.219),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0064964,madlad_400_ht_clean,,ht(0.293),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0058993,madlad_400_ht_clean,,ht(0.501),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0078057,madlad_400_ht_clean,,ht(0.425),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:73561,ht_wikipedia,,fr(0.228),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0017201,madlad_400_ht_clean,,ht(0.311),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0011404,madlad_400_ht_clean,,ht(0.124),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0077602,madlad_400_ht_clean,,ht(0.327),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:68513,ht_wikipedia,,fr(0.529),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0105615,madlad_400_ht_clean,,ht(0.281),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:75887,ht_wikipedia,,ht(0.14),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0054752,madlad_400_ht_clean,,ht(0.227),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0101349,madlad_400_ht_clean,,jv(0.111),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0080110,madlad_400_ht_clean,,ht(0.394),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0069440,madlad_400_ht_clean,,jv(0.078),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0091607,madlad_400_ht_clean,,ht(0.394),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0099509,madlad_400_ht_clean,,ht(0.446),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,unsure,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0044057,madlad_400_ht_clean,,ht(0.186),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0092367,madlad_400_ht_clean,,ht(0.164),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0096709,madlad_400_ht_clean,,ht(0.266),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0106980,madlad_400_ht_clean,,es(0.066),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0002350,madlad_400_ht_clean,,ht(0.17),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0014888,madlad_400_ht_clean,,ht(0.265),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:5776,ht_wikipedia,,ht(0.249),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0045621,madlad_400_ht_clean,,hr(0.159),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0011775,madlad_400_ht_clean,,ht(0.375),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0075561,madlad_400_ht_clean,,ht(0.269),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0068706,madlad_400_ht_clean,,ht(0.2),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:21701,ht_wikipedia,,nds(0.356),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0074277,madlad_400_ht_clean,,ht(0.253),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0028911,madlad_400_ht_clean,,ht(0.145),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0092458,madlad_400_ht_clean,,ht(0.275),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0107306,madlad_400_ht_clean,,ht(0.255),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0105399,madlad_400_ht_clean,,en(0.144),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,other-th,junk,na,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0062312,madlad_400_ht_clean,,ht(0.228),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:13298,ht_wikipedia,,fr(0.478),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0055375,madlad_400_ht_clean,,tl(0.233),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:82397,ht_wikipedia,,fr(0.222),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0016083,madlad_400_ht_clean,,ht(0.179),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
owned_proverbs:25,owned_proverbs,,vi(0.844),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0003331,madlad_400_ht_clean,,ht(0.108),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0100322,madlad_400_ht_clean,,ht(0.269),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0025487,madlad_400_ht_clean,,ht(0.3),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0054934,madlad_400_ht_clean,,ht(0.183),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0069741,madlad_400_ht_clean,,tl(0.162),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0061412,madlad_400_ht_clean,,ht(0.152),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0085326,madlad_400_ht_clean,,ht(0.116),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0013578,madlad_400_ht_clean,,ht(0.179),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:44398,ht_wikipedia,,ht(0.348),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:58271,ht_wikipedia,,rm(0.085),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:29700,ht_wikipedia,,ht(0.176),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:71336,ht_wikipedia,,fr(0.895),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,stub,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0056774,madlad_400_ht_clean,,ht(0.146),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0062463,madlad_400_ht_clean,,ht(0.141),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0017335,madlad_400_ht_clean,,ht(0.169),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0050842,madlad_400_ht_clean,,ht(0.076),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,junk,translated,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0000490,madlad_400_ht_clean,,ht(0.167),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0005573,madlad_400_ht_clean,,ht(0.416),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:76445,ht_wikipedia,,fr(0.19),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0066446,madlad_400_ht_clean,,ht(0.37),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0072405,madlad_400_ht_clean,,ht(0.161),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0020203,madlad_400_ht_clean,,ht(0.255),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:82453,ht_wikipedia,,fr(0.3),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:67976,ht_wikipedia,,fr(0.177),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0064942,madlad_400_ht_clean,,ht(0.26),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:66301,ht_wikipedia,,es(0.477),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0073315,madlad_400_ht_clean,,ht(0.44),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:7319,ht_wikipedia,,jv(0.185),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,stub,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0056198,madlad_400_ht_clean,,ht(0.193),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0091098,madlad_400_ht_clean,,ht(0.222),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:38952,ht_wikipedia,,ht(0.353),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0036192,madlad_400_ht_clean,,ht(0.189),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0097032,madlad_400_ht_clean,,ht(0.216),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:74579,ht_wikipedia,,fr(0.922),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0085277,madlad_400_ht_clean,,tl(0.169),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0069974,madlad_400_ht_clean,,ht(0.141),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0038876,madlad_400_ht_clean,,ht(0.174),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0025363,madlad_400_ht_clean,,ht(0.503),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0073480,madlad_400_ht_clean,,ht(0.14),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0092800,madlad_400_ht_clean,,ht(0.223),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0095274,madlad_400_ht_clean,,ht(0.167),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0001637,madlad_400_ht_clean,,ht(0.104),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0065039,madlad_400_ht_clean,,fr(0.096),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0091845,madlad_400_ht_clean,,wa(0.216),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0009715,madlad_400_ht_clean,,ht(0.237),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0009933,madlad_400_ht_clean,,ht(0.154),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0056022,madlad_400_ht_clean,,ht(0.17),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0069089,madlad_400_ht_clean,,ht(0.133),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:81220,ht_wikipedia,,fr(0.113),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0044349,madlad_400_ht_clean,,en(0.134),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0078503,madlad_400_ht_clean,,ht(0.177),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0009952,madlad_400_ht_clean,,ht(0.444),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0064277,madlad_400_ht_clean,,ht(0.441),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0079808,madlad_400_ht_clean,,ht(0.26),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0086524,madlad_400_ht_clean,,ht(0.153),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0072677,madlad_400_ht_clean,,ht(0.212),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0076987,madlad_400_ht_clean,,ht(0.533),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:59069,ht_wikipedia,,ht(0.318),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0109954,madlad_400_ht_clean,,ht(0.339),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:90683,ht_wikipedia,,jv(0.131),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:84682,ht_wikipedia,,vi(0.139),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0013477,madlad_400_ht_clean,,pms(0.095),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0069427,madlad_400_ht_clean,,ht(0.12),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0024766,madlad_400_ht_clean,,ht(0.196),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0048885,madlad_400_ht_clean,,ht(0.228),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0062566,madlad_400_ht_clean,,ht(0.223),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:38427,ht_wikipedia,,ht(0.52),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0049124,madlad_400_ht_clean,,ht(0.213),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:75649,ht_wikipedia,,pms(0.211),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:67481,ht_wikipedia,,ht(0.518),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0071457,madlad_400_ht_clean,,ht(0.294),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0037421,madlad_400_ht_clean,,ht(0.129),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:77149,ht_wikipedia,,fr(0.751),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
ht_wikipedia:82726,ht_wikipedia,,vi(0.113),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0027479,madlad_400_ht_clean,,ht(0.173),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0006511,madlad_400_ht_clean,,ht(0.214),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0087326,madlad_400_ht_clean,,ms(0.106),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0030473,madlad_400_ht_clean,,ht(0.195),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0017665,madlad_400_ht_clean,,ht(0.214),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0001420,madlad_400_ht_clean,,ht(0.233),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0078951,madlad_400_ht_clean,,ht(0.157),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0011099,madlad_400_ht_clean,,ht(0.19),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0032217,madlad_400_ht_clean,,ht(0.293),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0059805,madlad_400_ht_clean,,jv(0.092),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:3465,ht_wikipedia,,jv(0.392),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0079953,madlad_400_ht_clean,,ht(0.241),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,ht,ok,natural,human review 2026-07-22: concur with model label
ht_wikipedia:7385,ht_wikipedia,,jv(0.185),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0099925,madlad_400_ht_clean,,tl(0.147),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:81434,ht_wikipedia,,diq(0.181),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:79468,ht_wikipedia,,ht(0.36),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0101375,madlad_400_ht_clean,,ht(0.242),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0034494,madlad_400_ht_clean,,ht(0.238),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0086711,madlad_400_ht_clean,,ht(0.248),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0012210,madlad_400_ht_clean,,ht(0.102),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0033201,madlad_400_ht_clean,,ht(0.351),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0088224,madlad_400_ht_clean,,tl(0.084),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0064922,madlad_400_ht_clean,,ht(0.379),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0082009,madlad_400_ht_clean,,ht(0.106),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0005260,madlad_400_ht_clean,,ht(0.335),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0076780,madlad_400_ht_clean,,ht(0.334),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0063441,madlad_400_ht_clean,,ht(0.162),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0052240,madlad_400_ht_clean,,ht(0.517),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:74716,ht_wikipedia,,es(0.614),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0066650,madlad_400_ht_clean,,ht(0.297),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,mixed,ok,translated,human review 2026-07-22: concur with model label
madlad_400_ht_clean:0082374,madlad_400_ht_clean,,ht(0.252),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:5790,ht_wikipedia,,ht(0.209),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:22597,ht_wikipedia,,ht(0.245),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0110401,madlad_400_ht_clean,,ht(0.29),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0036366,madlad_400_ht_clean,,ht(0.226),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0013212,madlad_400_ht_clean,,ht(0.156),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:76489,ht_wikipedia,,fr(0.536),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0011736,madlad_400_ht_clean,,ht(0.423),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0069990,madlad_400_ht_clean,,ht(0.352),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0087314,madlad_400_ht_clean,,ht(0.338),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0035843,madlad_400_ht_clean,,ht(0.322),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:13824,ht_wikipedia,,ht(0.131),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0106895,madlad_400_ht_clean,,ht(0.207),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0025517,madlad_400_ht_clean,,ht(0.187),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:6780,ht_wikipedia,,jv(0.186),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:79830,ht_wikipedia,,oc(0.276),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
ht_wikipedia:7284,ht_wikipedia,,jv(0.185),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0002260,madlad_400_ht_clean,,ht(0.239),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
madlad_400_ht_clean:0062373,madlad_400_ht_clean,,ht(0.105),wrong_language;low_confidence_ht;boilerplate;unreadable;translation_shaped,,,,
